X,Y,OBJECTID,Census_Tra,Name,Address,City,Zipcode,Statea,Contact,PhoneNumbe,Latitude,Longitude,Comment_,Primary_Alt,Alternative_Name,DailyAvg
761038.115648687,2940335.0874351,1,0,Arbour Hospital,"49 Robinwood Ave, Boston, MA", ,02130, ,ARBOUR HOSP INC MASS CORP,617-522-4400,42.31577,-71.11224999, ,Primary,,
768907.965722606,2945461.26747143,2,0,Franciscan Children's Hospital & Rehab Center,"30 Warren St, Boston, MA", ,02119, ,RYAN ALBERTHA K TS,(617) 254-3800,42.32974,-71.08305999, ,Primary,,
756069.11541611,2933354.61648794,3,0,Hebrew Rehabilitation Center,"1200 Centre St, Boston, MA", ,02131, ,HEBREW REHABILITATION CNTR,617-363-8000,42.29668108,-71.13073384, ,Primary,,
766389.704026863,2941384.05252877,4,0,Jewish Memorial Hospital & Radius Hospital,"59 Townsend St, Boston, MA", ,02119, ,RADIUS-FA LTCH REALTY LLC,617-522-8110,42.31858534,-71.09244494, ,Primary,,
752985.350258186,2951533.15034077,5,0,Kindred Hospital,"1515 Commonwealth Ave, Boston, MA", ,02135, ,VENTAS LPS,617-254-1100,42.34659999,-71.14184999, ,Primary,,
763882.028267935,2934393.99826744,6,0,Lemuel Shattuck Hospital,"170 Morton St, Boston, MA", ,02124, ,COMMONWEALTH OF MASS,617-989-8315,42.29943676,-71.1018377, ,Primary,,
773337.544461861,2957633.37436077,7,0,Shriner’s Burn Institute ,"51 Blossom St, Boston, MA", ,02114, ,SHRINERS HOSPITAL,617-523-1684,42.36308,-71.06644999, ,Primary,Shriner’s Burn Institute ,
773734.100755364,2959366.43355869,8,0,Spaulding Rehabilitation Hospital,"125 Nashua St, Boston, MA", ,02114, ,SPAULDING REHAB HOSPITAL CP,617-573-7000,42.36782999,-71.06494999, ,Primary,,
762774.518671945,2949107.48426035,9,2069,Beth Isreal Deaconess medical Center - East Campus,"330 Brookline Ave, Boston, MA 02215", ,02115, ,BETH ISRAEL DEACONESS,617-667-7000,42.33981999,-71.10567999, ,Primary,,140
771563.788166866,2947314.57708502,10,2307,Boston Medical Center - Menino Campus,"1 Boston Medical Center Pl. Boston, 02118", ,02118, ,BOSTON PUBLIC HEALTH COMM,617-638-8000,42.3347841,-71.07320405, ,Primary,,330
762293.999947935,2947750.00009869,11,2341,Brigham and Women's Hospital,"75 Francis St, Boston, MA, 02115", ,02115, ,BRIGHAM& WOMENS HOSP INC,617-732-5500,42.33610648,-71.10748046, ,Primary,,160
773701.053577363,2926420.77241603,12,2003,Carney Hospital,"2100 Dorchester Ave, Dorchester, MA, 02124", ,02124, ,NEW CARITAS CHRISTI HOSPITAL,617-296-2000,42.27742624,-71.06569303, ,Primary,,80
762849.723245949,2948049.02902819,13,2139,Children's Hospital Boston,"300 Longwood Ave, Boston, MA 02115", ,02115, ,CHILDRENS HOSPITAL CORP THE,617-355-6000,42.33692,-71.10541999, ,Primary,,160
762400.00006403,2948280.00002293,14,0,Dana-Farber Cancer Institute,"44 Binney St, Boston, MA, 02115", ,02215, ,CHILDREN CANCER RESEARCH,617-632-3000,42.33755949,-71.10707939, ,Primary,,
756545.074437946,2935506.38318177,15,0,Faulkner Hospital,"1153 Centre St, Boston, MA, 02130", ,02130, ,FAULKNER HOSPITAL INC,617-983-7000,42.30258,-71.12894, ,Primary,,65
772340.999867022,2957450.0000556,16,0,Massachusetts Eye and Ear Infirmary,"55 Fruit St, Boston, 02114", ,02114, ,MASS GEN EYE * EAR INF,617-726-2000,42.36259065,-71.07014072, ,Primary,UpdateStat! Massachusetts General Hospital,
751323.999906361,2952609.9998931,17,0,St. Elizabeth's Hospital,"736 Cambridge St. Boston, 02135", ,02135, ,ST ELIZABETHS HOSP OF BOS,617-789-3000,42.34957389,-71.14797912, ,Primary,,90
774277.999930024,2952899.99996927,18,0,Tufts Medical Center,"750 Washington St. Boston, 02111", ,02111, ,TUFTS N E MED CTR INC,(617) 636-5000,42.35007835,-71.06305995, ,Primary,,
761583.06140919,2944347.19424027,19,0,VA Bos. Healthcare System - Jamaica Plain,"150 South Huntington Ave. Boston, 02130", ,02115, ,UNITED STATES OF AMER,(617) 232-9500,42.32677799,-71.1101674, ,Primary,,
745099.187552854,2925509.59083943,20,0,VA Bos. Healthcare System - W. Roxbury,"1400 VFW Parkway, Boston, 02132", ,02132, ,UNITED STATES OF AMERICA,(617) 323-7700,42.2752769,-71.17139292, ,Primary,,
761901.921991944,2948292.08890952,21,2092,Beth Israel Deaconess Medical Center - West Campus,110 Francis Street, ,02215, ,BETH ISRAEL DEACONESS, ,42.33759354,-71.10892133, ,Primary,,
772209.730772614,2948402.1087026,22,2084,Boston Medical Center - East Newton Campus,88 East Newton Stret, ,02118, ,UNIVERSITY HOSP INC, ,42.33775943,-71.07079483, ,Primary,,
762396.366541103,2945494.8527061,23,0,New England Baptist Hospital,125 Parker Hill Avenue, ,02120, ,N E BAPTIST HOSPITAL, ,42.32991697,-71.10714028, ,Primary,,
764689.497781605,2952171.30949752,24,0,BOSTON VETERAN CENTER,665 BEACON STREET, ,02215, ,BOSTON UNIVERSITY TRSTS OF,617-424-0665,42.34820272,-71.09854366, ,Primary,,
775357.497114852,2958883.6960071,25,0,Veterans Affairs Boston Health Care System,251 CAUSEWAY STREET, ,02114, ,CAUSEWAY HOLDINGS INC,617-248-1000,42.36648248,-71.05895207, ,Primary,,
774139.621269777,2957209.29712494,26,0,Erich LIindemann Mental Health Center,25 STANIFORD STREET, ,02114, ,COMMONWEALTH OF MASS,617-626-8500,42.3619051,-71.06349027, ,Primary,,
770615.641769186,2953055.11809735,27,0,Urgent Care Medical Unit,581 BOYLSTON STREET, ,02116, ,ABBEY BOYLSTON LLC,617-247-1400,42.35055468,-71.07660537, ,Primary,,
771832.606198773,2946966.06990802,28,0,Boston Public Health Commission Medical Facilities,  ALBANY ST, ,02118, ,BOSTON PUBLIC HEALTH COMM, ,42.33382409,-71.07221631, ,Primary,,
777094.910306692,2962806.10614127,29,0,MGH at the Navy Yard,  THIRTEENTH ST, ,02129, ,CONSTITUTION OFFICE PARK LE, ,42.37722077,-71.052447, ,Primary,,
772842.523798361,2957370.44640894,30,0,Mass General Hospital,255 265 CHARLES ST, ,02114, ,GENERAL HOSPITAL CORP, ,42.36315524,-71.06852783, ,Primary,Massachusetts General Hospital- 617-726-2000,110
