route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
Red-3-0,Red,0,Alewife - Braintree,,1,100100000,canonical-Red-C1-0,1
Red-1-0,Red,0,Alewife - Ashmont,,1,100100001,canonical-Red-C2-0,1
Red-3-1,Red,1,Braintree - Alewife,,1,100101000,canonical-Red-C1-1,1
Red-1-1,Red,1,Ashmont - Alewife,,1,100101001,canonical-Red-C2-1,1
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,100110000,canonical-Mattapan-C1-0,1
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,100111000,canonical-Mattapan-C1-1,1
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,100200000,canonical-Orange-C1-0,1
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,100201000,canonical-Orange-C1-1,1
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,100320000,canonical-Green-B-C1-0,1
Green-B-816-0,Green-B,0,Medford/Tufts - Boston College,Mornings only,3,100320040,58397599,2
Green-B-816-0_70512_70202_2,Green-B,0,Government Center - Boston College,,4,100320990,58397599-GovtCtrNorthStaGovtMedSuspendD2,2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,100321000,canonical-Green-B-C1-1,1
Green-B-816-1,Green-B,1,Boston College - Medford/Tufts,Early mornings only,3,100321040,58397508,2
Green-B-816-1_70201_70511_0,Green-B,1,Boston College - Government Center,,4,100321990,58397508-GovtCtrNorthStaGovtMedSuspendD0,2
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,100330000,canonical-Green-C-C1-0,1
Green-C-836-0,Green-C,0,Medford/Tufts - Cleveland Circle,Mornings only,3,100330040,58397581,2
Green-C-836-0_70512_70202_2,Green-C,0,Government Center - Cleveland Circle,,4,100330990,58397581-GovtCtrNorthStaGovtMedSuspendD2,2
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,100331000,canonical-Green-C-C1-1,1
Green-C-836-1,Green-C,1,Cleveland Circle - Medford/Tufts,Early mornings only,3,100331040,58397582,2
Green-C-836-1_70201_70511_0,Green-C,1,Cleveland Circle - Government Center,,4,100331990,58397582-GovtCtrNorthStaGovtMedSuspendD0,2
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,100340000,canonical-Green-D-C1-0,1
Green-D-856-0,Green-D,0,Medford/Tufts - Riverside,Weekday mornings only,3,100340040,58398269,2
Green-D-855-0_70206_70202_0,Green-D,0,Union Square - North Station,,4,100340990,58398254-GovtCtrNorthStaGovtMedSuspendD0,2
Green-D-855-0_70206_70202_2,Green-D,0,Government Center - Riverside,,4,100340990,58398254-GovtCtrNorthStaGovtMedSuspendD2,2
Green-D-856-0_70512_70202_2,Green-D,0,Government Center - Riverside,,4,100340990,58398269-GovtCtrNorthStaGovtMedSuspendD2,2
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,100341000,canonical-Green-D-C1-1,1
Green-D-856-1,Green-D,1,Riverside - Medford/Tufts,Weekday early mornings only,3,100341040,58398268,2
Green-D-855-1_70201_70205_0,Green-D,1,Riverside - Government Center,,4,100341990,58398253-GovtCtrNorthStaGovtMedSuspendD0,2
Green-D-855-1_70201_70205_2,Green-D,1,North Station - Union Square,,4,100341990,58398253-GovtCtrNorthStaGovtMedSuspendD2,2
Green-D-856-1_70201_70511_0,Green-D,1,Riverside - Government Center,,4,100341990,58398268-GovtCtrNorthStaGovtMedSuspendD0,2
Green-E-886-0,Green-E,0,Medford/Tufts - Heath Street,,1,100350000,canonical-Green-E-C1-0,1
Green-E-886-0_70206_70202_0,Green-E,0,Medford/Tufts - North Station,,4,100350990,58397672-GovtCtrNorthStaGovtMedSuspendD0,2
Green-E-886-0_70206_70202_2,Green-E,0,Government Center - Heath Street,,4,100350990,58397672-GovtCtrNorthStaGovtMedSuspendD2,2
Green-E-886-1,Green-E,1,Heath Street - Medford/Tufts,,1,100351000,canonical-Green-E-C1-1,1
Green-E-86-1,Green-E,1,East Somerville - Medford/Tufts,,3,100351040,58398673,2
Green-E-886-1_70201_70205_0,Green-E,1,Heath Street - Government Center,,4,100351990,58397597-GovtCtrNorthStaGovtMedSuspendD0,2
Green-E-886-1_70201_70205_2,Green-E,1,North Station - Medford/Tufts,,4,100351990,58397597-GovtCtrNorthStaGovtMedSuspendD2,2
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,100400000,canonical-Blue-C1-0,1
Blue-8-0,Blue,0,Orient Heights - Bowdoin,,3,100400040,58848228,2
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,100401000,canonical-Blue-C1-1,1
741-_-0,741,0,South Station - Logan Airport Terminals,,1,100510000,58635226,0
741-_-1,741,1,Logan Airport Terminals - South Station,,1,100511000,58635227,0
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,100511040,58635355,0
742-_-0,742,0,South Station - Drydock Ave (PM Route),,1,100520000,58634321,0
742-3-1,742,1,Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave),,1,100521000,58634320,0
743-_-0,743,0,South Station - Chelsea Station,,1,100530000,58634021,0
743-_-1,743,1,Chelsea Station - South Station,,1,100531000,58634712,0
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,100531040,58634022,0
751-_-0,751,0,South Station - Nubian Station,,1,100550000,58633976,0
751-_-1,751,1,Nubian Station - South Station,,1,100551000,58633975,0
749-_-0,749,0,Temple Place - Nubian Station,,1,100560000,58633804,0
749-_-1,749,1,Nubian Station - Temple Place,,1,100561000,58633803,0
746-_-0,746,0,South Station - Silver Line Way,,1,100570000,58634555,0
746-_-1,746,1,Silver Line Way - South Station,,1,100571000,58634076,0
CR-Fairmount-195ea3c8-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,200010000,canonical-CR-Fairmount-C1-0,1
CR-Fairmount-ff9cd1ee-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,200011000,canonical-CR-Fairmount-C1-1,1
CR-Fitchburg-2a5f6366-0,CR-Fitchburg,0,North Station - Wachusett,,1,200020000,canonical-CR-Fitchburg-C1-0,1
CR-Fitchburg-acb28c6e-0,CR-Fitchburg,0,North Station - Littleton/Route 495,,2,200020040,CR-627755-481,2
CR-Fitchburg-8294748d-0,CR-Fitchburg,0,North Station - Wachusett,,3,200020060,CR-627743-423,2
CR-Fitchburg-d82ea33a-1,CR-Fitchburg,1,Wachusett - North Station,,1,200021000,canonical-CR-Fitchburg-C1-1,1
CR-Fitchburg-6528076d-1,CR-Fitchburg,1,Littleton/Route 495 - North Station,,2,200021040,CR-627756-482,2
CR-Fitchburg-94972bc9-1,CR-Fitchburg,1,Wachusett - North Station,,3,200021060,CR-627730-404,2
CR-Worcester-08f75e4f-0,CR-Worcester,0,South Station - Worcester,,2,200030030,CR-628038-501-AshClosedFramShuttleDyn,2
CR-Worcester-bb705886-0,CR-Worcester,0,South Station - Worcester,,3,200030170,CR-628030-509-AshClosedFramShuttleDyn,2
CR-Worcester-b7d67732-0,CR-Worcester,0,South Station - Framingham,,3,200030210,CR-627987-597-AshClosedFramShuttleDyn,2
CR-Worcester-d18892dd-0,CR-Worcester,0,South Station - Framingham,,3,200030220,CR-627988-595-AshClosedFramShuttleDyn,2
CR-Worcester-e1d7bdb5-0,CR-Worcester,0,South Station - Worcester,,3,200030230,CR-627999-541-AshClosedFramShuttleDyn,2
CR-Worcester-baf41bb3-0,CR-Worcester,0,South Station - Worcester,,3,200030240,CR-628006-533-AshClosedFramShuttleDyn,2
CR-Worcester-a6fa8b52-0,CR-Worcester,0,South Station - Worcester,,3,200030250,CR-628008-531-AshClosedFramShuttleDyn,2
CR-Worcester-aabab9a7-0,CR-Worcester,0,South Station - Worcester,,3,200030260,CR-628010-529-AshClosedFramShuttleDyn,2
CR-Worcester-e348257b-0,CR-Worcester,0,South Station - Worcester,,3,200030270,CR-628032-507-AshClosedFramShuttleDyn,2
CR-Worcester-b65b9e75-0,CR-Worcester,0,South Station - Framingham,,3,200030280,CR-643508-583-AshClosedFramShuttleDyn,2
CR-Worcester-bbf42cea-0,CR-Worcester,0,South Station - Framingham,,3,200030290,CR-643510-585-AshClosedFramShuttleDyn,2
CR-Worcester-C1-0,CR-Worcester,0,South Station - Worcester,,5,200030991,canonical-CR-Worcester-C1-0,1
CR-Worcester-70dbef6d-1,CR-Worcester,1,Worcester - South Station,,3,200031030,CR-628039-500-AshClosedFramShuttleDyn,2
CR-Worcester-cb9d6625-1,CR-Worcester,1,Framingham - South Station,,3,200031080,CR-627997-582-AshClosedFramShuttleDyn,2
CR-Worcester-6874ed14-1,CR-Worcester,1,Framingham - South Station,,3,200031130,CR-643509-584-AshClosedFramShuttleDyn,2
CR-Worcester-cf3d091c-1,CR-Worcester,1,Worcester - South Station,,3,200031210,CR-628031-508-AshClosedFramShuttleDyn,2
CR-Worcester-886d07a5-1,CR-Worcester,1,Worcester - South Station,,3,200031240,CR-628009-530-AshClosedFramShuttleDyn,2
CR-Worcester-450193f7-1,CR-Worcester,1,Worcester - South Station,,3,200031280,CR-628017-522-AshClosedFramShuttleDyn,2
CR-Worcester-8171c73d-1,CR-Worcester,1,Framingham - South Station,,3,200031310,CR-627986-598-AshClosedFramShuttleDyn,2
CR-Worcester-8e925022-1,CR-Worcester,1,Framingham - South Station,,3,200031320,CR-627991-592-AshClosedFramShuttleDyn,2
CR-Worcester-b0ad5e13-1,CR-Worcester,1,Worcester - South Station,,3,200031330,CR-628001-538-AshClosedFramShuttleDyn,2
CR-Worcester-c5a1953e-1,CR-Worcester,1,Worcester - South Station,,3,200031340,CR-628005-534-AshClosedFramShuttleDyn,2
CR-Worcester-0ea3baaa-1,CR-Worcester,1,Worcester - South Station,,3,200031350,CR-628007-532-AshClosedFramShuttleDyn,2
CR-Worcester-478dd910-1,CR-Worcester,1,Worcester - South Station,,3,200031360,CR-628011-528-AshClosedFramShuttleDyn,2
CR-Worcester-40015fd9-1,CR-Worcester,1,Worcester - South Station,,3,200031370,CR-628015-524-AshClosedFramShuttleDyn,2
CR-Worcester-C1-1,CR-Worcester,1,Worcester - South Station,,5,200031991,canonical-CR-Worcester-C1-1,1
CR-Franklin-3badde55-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,1,200040000,CR-627948-705,2
CR-Franklin-1af2beab-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,1,200040010,CR-627910-755,2
CR-Franklin-512734e4-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040060,CR-627916-749,2
CR-Franklin-b8c4a7ca-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040090,CR-627934-727,2
CR-Franklin-807421e2-0,CR-Franklin,0,South Station - Forge Park/495 via Fairmount,,3,200040150,CR-627926-735,2
CR-Franklin-35c1126a-0,CR-Franklin,0,South Station - Foxboro via Fairmount,,3,200040180,CR-627906-759,2
CR-Franklin-8076e72e-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,3,200040190,CR-627912-753,2
CR-Franklin-78461397-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,3,200040200,CR-627932-729,2
CR-Franklin-C1-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,5,200040991,canonical-CR-Franklin-C1-0,1
CR-Franklin-C2-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,5,200040992,canonical-CR-Franklin-C2-0,1
CR-Franklin-02118599-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,1,200041000,CR-627947-706,2
CR-Franklin-47d24b90-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,1,200041010,CR-627921-744,2
CR-Franklin-901f1692-1,CR-Franklin,1,Forge Park/495 - South Station via Fairmount,,2,200041070,CR-627929-732,2
CR-Franklin-efd9798e-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,3,200041110,CR-627944-710,2
CR-Franklin-d7300846-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,3,200041140,CR-627923-742,2
CR-Franklin-2a3eba97-1,CR-Franklin,1,Foxboro - South Station via Fairmount,,3,200041180,CR-627905-760,2
CR-Franklin-cb37a682-1,CR-Franklin,1,Foxboro - South Station via Fairmount,,3,200041190,CR-627907-758,2
CR-Franklin-be153239-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,3,200041200,CR-627911-754,2
CR-Franklin-541f8dad-1,CR-Franklin,1,Franklin - South Station via Fairmount,,3,200041210,CR-627933-728,2
CR-Franklin-C1-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,5,200041991,canonical-CR-Franklin-C1-1,1
CR-Franklin-C2-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,5,200041992,canonical-CR-Franklin-C2-1,1
